subset,canonical_field,mapped_to,required,files_with_match,file_count,total_rows,nonnull_rows,missing_rows,missing_rate,status
agents,author_id,id,True,69,69,106746,106746.0,0.0,0.0,found
agents,author_name,name,False,69,69,106746,106746.0,0.0,0.0,found
agents,claimed_status_raw,is_claimed,False,69,69,106746,106746.0,0.0,0.0,found
agents,created_at_utc,created_at,False,69,69,106746,35513.0,71233.0,0.6673130609109474,found
agents,first_seen_at_utc,first_seen_at,False,69,69,106746,106746.0,0.0,0.0,found
agents,follower_count,follower_count,False,69,69,106746,106746.0,0.0,0.0,found
agents,following_count,following_count,False,69,69,106746,106746.0,0.0,0.0,found
agents,karma,karma,False,69,69,106746,106745.0,1.0,9.36803252580893e-06,found
agents,last_seen_at_utc,last_seen_at,False,69,69,106746,106746.0,0.0,0.0,found
agents,owner_x_handle,owner_x_handle,False,69,69,106746,34470.0,72276.0,0.6770839188353662,found
agents,source_snapshot_id,dump_date,True,69,69,106746,106746.0,0.0,0.0,found
comments,author_id,agent_id,True,70,70,1113910,1113858.0,52.0,4.668240701672487e-05,found
comments,comment_id,id,True,70,70,1113910,1113910.0,0.0,0.0,found
comments,created_at_utc,created_at,True,70,70,1113910,1113888.0,22.0,1.975024912246052e-05,found
comments,parent_comment_id,parent_id,True,70,70,1113910,148843.0,965067.0,0.8663778940848004,found
comments,score_snapshot,score,False,70,70,1113910,1113909.0,1.0,8.977385964754783e-07,found
comments,source_snapshot_id,dump_date,True,70,70,1113910,1113910.0,0.0,0.0,found
comments,thread_id,post_id,True,70,70,1113910,1113910.0,0.0,0.0,found
posts,community_label,submolt,True,72,72,1084831,1084830.0,1.0,9.218025664827057e-07,found
posts,post_author_id,agent_id,True,72,72,1084831,1083787.0,1044.0,0.0009623618794079447,found
posts,post_comment_count,comment_count,False,72,72,1084831,1084831.0,0.0,0.0,found
posts,post_created_at_utc,created_at,True,72,72,1084831,1084831.0,0.0,0.0,found
posts,post_score,score,False,72,72,1084831,1084831.0,0.0,0.0,found
posts,source_snapshot_id,dump_date,True,72,72,1084831,1084831.0,0.0,0.0,found
posts,thread_id,id,True,72,72,1084831,1084831.0,0.0,0.0,found
snapshots,active_agents_24h,active_agents_24h,False,67,67,2778,2778.0,0.0,0.0,found
snapshots,snapshot_timestamp_utc,timestamp,True,67,67,2778,2778.0,0.0,0.0,found
snapshots,source_snapshot_id,dump_date,True,67,67,2778,2778.0,0.0,0.0,found
snapshots,total_agents,total_agents,False,67,67,2778,2778.0,0.0,0.0,found
submolts,community_description,description,False,20,20,5280,5094.0,186.0,0.035227272727272725,found
submolts,community_id,,False,0,20,5280,,,,missing_optional
submolts,community_label,name,True,20,20,5280,5280.0,0.0,0.0,found
submolts,source_snapshot_id,dump_date,True,20,20,5280,5280.0,0.0,0.0,found
submolts,subscriber_count,subscriber_count,False,20,20,5280,5280.0,0.0,0.0,found
word_frequency,count,count,True,68,68,211520,211520.0,0.0,0.0,found
word_frequency,hour_utc,hour,True,68,68,211520,211520.0,0.0,0.0,found
word_frequency,source_snapshot_id,dump_date,True,68,68,211520,211520.0,0.0,0.0,found
word_frequency,word,word,True,68,68,211520,211520.0,0.0,0.0,found
